Produit;valeur energetique KJ);quantité d’acides gras satures (g);quantite de sucres (g);quantite de Sodium (mg/g);quantite de proteines (g);quantite de Fibres (g);teneur en Fruits/Legumes/Fruits a coques;Score issue de nutri Score;label nutri Score;Green label;green score;Bio or no;Nombre d'aditif;URL
Petits pains grillés au blé complet sans sucres ajoutés – Chabrior,Sélection Intermarché – 225 g;1641;0.5;2.8;5.2;13.0;7.6;4.8;0.0;a;a;86.0;Non;1;https://world.openfoodfacts.org/product/3250390145608/petits-pains-grilles-sans-sucres-ajoutes-riches-en-fibres-chabrior
Petits pains grillés au froment - 225g – U, U Bio – 225 g;1702;0.8;7.4;4.0;9.1;4.1;0.0;10.0;c;a;102.0;Oui;1;https://world.openfoodfacts.org/product/3256220368186/petits-pains-grilles-au-froment-225g-u
Croustillant Nature – Carrefour BIO, Carrefour – 500 g;1880;1.4;16.0;0.04;8.9;8.1;0.0;2.0;b;a;87.0;Oui;0;https://world.openfoodfacts.org/product/3560070792368/croustillant-nature-carrefour-bio
Chips Pom'Lisse – Marque Repère, Pom'Lisse – 200 g;2266;2.8;0.5;2.3000000000000003;5.9;5.2;0.0;6.0;c;a;89.0;Non;0;https://world.openfoodfacts.org/product/3564700576083/chips-pom-lisse-marque-repere
Petits Pains Grillés Froment – Marque Repère, Epi d'Or – 400 g;1735;0.7;8.5;4.4;9.8;3.5;3.75;11.0;d;a;90.0;Non;1;https://world.openfoodfacts.org/product/3564700582695/petits-pains-grilles-froment-marque-repere
Pain tranché au seigle – Auchan, Auchan Gourmet – 0.5 kg;913;0.2;2.5;4.8;6.8;6.0;0.0;2.0;b;a;82.0;Non;2;https://world.openfoodfacts.org/product/3596710425525/pain-tranche-au-seigle-auchan
Cereales rellenos de crema de cacao y avellana sin gluten – Hacendado – 400g;1936;2.8;24.4;1.96;6.0;2.0;1.6;16.0;d;d;30.0;Non;4;https://world.openfoodfacts.org/product/8480000095473/cereales-rellenos-de-crema-de-cacao-y-avellana-sin-gluten-hacendado
Pain de mie – Jacquet – 825 g;1054;0.3;3.9;4.4;8.7;3.5;7.51666666666667;5.0;c;a;83.0;Non;0;https://world.openfoodfacts.org/product/3029330071273/pain-de-mie-jacquet
Harrys pain de mie extra moelleux complet sans sucres ajoutés 500g – Harrys, Harry’s – 500 g;1136;0.4;5.1;4.8;8.7;6.0;2.0625;3.0;c;a;83.0;Non;0;https://world.openfoodfacts.org/product/3228857001491/pain-de-mie-em-complet-harrys
Muesli fruits – Carrefour BIO, Carrefour – 375 g;1542;1.0;13.0;0.08;10.0;9.9;24.0;-2.0;a;a;87.0;Oui;1;https://world.openfoodfacts.org/product/3560071407506/muesli-fruits-carrefour-bio
Tartines grillées craquantes au froment 250g – U – 250 g;1637;0.5;3.5;4.8;12.0;6.2;0.0;3.0;c;a;76.0;Non;0;https://world.openfoodfacts.org/product/3256229386563/tartines-grillees-craquantes-au-froment-250g-u
Special K Classic – Kellogg's – 450 g;1660;0.3;15.0;3.3600000000000003;8.0;6.0;0.0;9.0;c;e;25.0;Non;0;https://world.openfoodfacts.org/product/5059319026053/special-k-classic-kellogg-s
Purée – Mousline – 500 g;303;0.774;2.12;1.59;2.37;1.03;0.0;1.0;b;a;85.0;Non;2;https://world.openfoodfacts.org/product/3760381260543/puree-mousline
Flakes fruits rouges – Crownfield, Lidl – 425 g;1567;0.5;13.4;1.92;8.7;8.0;1.90000000000001;1.0;b;e;25.0;Non;1;https://world.openfoodfacts.org/product/4056489671442/flakes-fruits-rouges-crownfield
Belvita Petit-Déjeuner Original – BelVita, LU – 400g;1828;1.5;20.0;3.92;7.8;6.8;0.0;11.0;d;c;54.0;Non;5;https://world.openfoodfacts.org/product/3017760307499/belvita-petit-dejeuner-original
Quaker Cruesli Chocolat au lait maxi format – Cruesli, PepsiCo, QUAKER – 900 g;1914;4.8;20.0;2.04;7.7;8.7;1.85060763888889;11.0;d;b;62.0;Non;2;https://world.openfoodfacts.org/product/3168930010838/quaker-cruesli-chocolat-au-lait-maxi-format
Grilletine Céréales et Graines x18 – Brioche Pasquier – 255 g;1849;2.0;7.9;3.56;13.0;7.8;0.0;7.0;c;b;65.0;Non;1;https://world.openfoodfacts.org/product/3182180001026/grilletine-cereales-et-graines-x18-brioche-pasquier
Galettes de maïs bio – Regain, Regain bio – 150 g;1628;0.4;1.2;2.08;7.9;6.4;0.0;-1.0;a;b;70.0;Oui;0;https://world.openfoodfacts.org/product/3250392355289/galettes-de-mais-bio-regain
Céréales Muesli croustillant aux fruits rouges doypack de 500g – U – 500 g;1830;2.6;18.0;0.6;8.9;8.9;2.0;7.0;c;b;67.0;Non;2;https://world.openfoodfacts.org/product/3256220394086/cereales-muesli-croustillant-aux-fruits-rouges-doypack-de-500g-u
MUESLI & Co 6 FRUITS SECS – Carrefour – 750 g;1542;3.0;16.0;0.08;9.5;8.9;30.03003003003;2.0;b;b;71.0;Non;0;https://world.openfoodfacts.org/product/3270190111108/muesli-co-7-dried-fruits-nuts-carrefour
Vico La Classique 400g – Intersnack, Vico – 400 g;2188;2.8;0.61;5.2;5.9;4.5;0.0;12.0;d;b;73.0;Non;0;https://world.openfoodfacts.org/product/3336971405023/vico-la-classique-400g-intersnack
Original Nature – Nestlé,Fitness – 625 g;1557;0.6;11.0;3.6;9.4;7.6;0.0;6.0;c;e;29.0;Non;2;https://world.openfoodfacts.org/product/3387390325911/original-nature-nestle
Farine de blé T45 – Marque Repère, Tablier Blanc – 1 kg;1433;0.1;0.4;0.0;11.0;4.0;0.0;-1.0;a;a;91.0;Non;0;https://world.openfoodfacts.org/product/3564700004524/farine-de-ble-t45-marque-repere
Frosties – Kellogg's – 450 g;1594;0.6;37.0;3.3200000000000003;4.5;2.0;0.0;18.0;d;e;29.0;Non;0;https://world.openfoodfacts.org/product/5053827185615/frosties-kellogg-s
Krisprolls complets – Pågen – 225 g ℮;1687;0.9;1.1;4.4;13.0;8.3;7.6;0.0;a;a;86.0;Non;0;https://world.openfoodfacts.org/product/7311070331318/krisprolls-wholegrain-pagen
Maïs SRP 1/2 – Bonduelle – 285 g;309;0.2;5.1;1.12;2.7;3.0;100.0;-3.0;b;a;85.0;Non;0;https://world.openfoodfacts.org/product/3083681101232/mais-srp-1-2-bonduelle
NESTLE FITNESS Chocolat Noir Céréales 450g – Nestlé, Fitness – 450 g;1684;4.6;15.1;1.7999999999999998;8.9;10.2;0.0;10.0;c;d;44.0;Non;4;https://world.openfoodfacts.org/product/7613287514271/nestle-fitness-chocolat-noir-cereales-450g
Maxi Tranches Complet – CARREFOUR CLASSIC', Carrefour – 550 g;1105;0.7;5.4;3.88;8.4;6.5;11.2636363636364;1.0;b;a;76.0;Non;2;https://world.openfoodfacts.org/product/3560071429508/maxi-tranches-complet-carrefour-classic
Avena cremosa – Alpro;177;0.2;3.1;0.4;0.8;0.7;5.25;5.0;c;c;52.0;Non;1;https://world.openfoodfacts.org/product/5411188136217/avena-cremosa-alpro
Lay's Paysanne saveur oignons de Roscoff caramélisé – LAY'S, Lays – 120 g;2089;3.0;2.1;5.6000000000000005;6.5;4.4;4.30347222222222;12.0;d;a;79.0;Non;2;https://world.openfoodfacts.org/product/3168930167921/lay-s-paysanne-saveur-oignons-de-roscoff-caramelise
