Produit;valeur energetique KJ);quantité d’acides gras satures (g);quantite de sucres (g);quantite de Sodium (mg/g);quantite de proteines (g);quantite de Fibres (g);teneur en Fruits/Legumes/Fruits a coques;Score issue de nutri Score;label nutri Score;Green label;green score;Bio or no;Nombre d'aditif;URL
Pain de mie nature – Harrys – 650 g;1125;0.4;7.7;4.4;7.0;3.8;4.4;7.0;c;a;85.0;Non;0;https://world.openfoodfacts.org/product/3228857000913/pain-de-mie-nature-harrys
Pain 100% mie nature sans sucre ajouté – Harrys – 500 g;1100;0.4;5.6;4.0;7.1;4.9;6.3;4.0;c;a;75.0;Non;0;https://world.openfoodfacts.org/product/3228857001118/pain-100-mie-nature-sans-sucre-ajoute-harrys
Le pain au Seigle – Carrefour – 500 g;933;0.3;3.4;4.8;7.1;6.3;0.0;2.0;b;a;82.0;Non;3;https://world.openfoodfacts.org/product/3560070879762/le-pain-au-seigle-carrefour
NESTLE LION céréales 400g​ – Nestlé, Lion – 400 g;1709;1.1;24.5;1.92;8.1;7.0;0.0;11.0;d;d;40.0;Non;1;https://world.openfoodfacts.org/product/3387390019995/nestle-lion-cereales-400g
Multigrain Alpha Bites – Bear – 350g;1606;0.5;11.0;0.08;9.3;7.0;0.0;0.0;a;e;25.0;Non;0;https://world.openfoodfacts.org/product/5060139434386/multigrain-alpha-bites-bear
Shreddies – Nestle – 460g;1538;0.3;12.5;2.88;10.8;12.0;0.0;1.0;b;e;25.0;Non;0;https://world.openfoodfacts.org/product/7613287136053/shreddies-nestle
Lustucru gnocchi a poêler 520g – Lustucru, Lustucru selection – 520 g;801;0.3;1.5;4.4;5.0;2.6;5.20833333333333;5.0;c;a;82.0;Non;0;https://world.openfoodfacts.org/product/3240931548128/lustucru-gnocchi-a-poeler-520g
Biscotte gout brioche heudebert – LU – 290 g;824;2.2;5.4;2.0;5.0;1.7;1.74107142857143;5.0;c;a;79.0;Non;4;https://world.openfoodfacts.org/product/3017760771894/biscotte-gout-brioche-heudebert-lu
4 Baguettes viennoises 340g – La Boulangère – 340 g;1376;1.3;7.8;3.64;9.7;3.1;8.47916666666666;10.0;c;a;81.0;Non;2;https://world.openfoodfacts.org/product/3760049790818/4-baguettes-viennoises-340g-la-boulangere
Pain de mie Grandes Tranches 7 céréales – Maître Jean Pierre,Lidl – 550 g;1194;0.9;6.2;4.4;8.2;4.0;2.05;5.0;c;a;85.0;Non;3;https://world.openfoodfacts.org/product/20712785/pain-de-mie-grandes-tranches-7-cereales-maitre-jean-pierre
Granola Amandes Noisettes & Graines – Jordans – 400 g;1892;2.4;2.5;0.12;12.6;16.1;18.75;-3.0;a;b;67.0;Non;0;https://world.openfoodfacts.org/product/5010477356277/granola-amandes-noisettes-graines-jordans
Muesli pépites croustillantes chocolat-noissette réduit en sucre – Marque Repère, Grainéa – 350 g;1810;2.9;9.3;0.28;10.0;12.0;4.0;0.0;a;b;66.0;Non;3;https://world.openfoodfacts.org/product/3564706604360/muesli-pepites-croustillantes-chocolat-noissette-reduit-en-sucre-marque-repere
LU - Grany Chocolate 5 Cereals Bar x6, 125g (4.5oz) – Lu – 125 g;1864;7.6;24.0;2.72;5.4;4.4;2.375;19.0;e;d;35.0;Non;2;https://world.openfoodfacts.org/product/3392460511200/lu-grany-chocolate-5-cereals-bar-x6-125g-4-5oz
Melloeux Fruit Rouges – BelVita, LU, Mondelēz – 250 g;1620;1.1;22.0;1.36;5.3;7.2;18.76875;8.0;c;c;54.0;Non;4;https://world.openfoodfacts.org/product/7622210444127/melloeux-fruit-rouges-belvita
Chips saveur Sel & Vinaigre – Brets – 125 g;2177;2.6;0.9;7.199999999999999;6.3;4.8;0.0;14.0;d;a;79.0;Non;3;https://world.openfoodfacts.org/product/3497911105127/%C4%8Dips-brets
